feature,importance
price_lag1,1533.0
nbr_price_t15_2,634.25
day_ahead_price,600.5
time_to_expiry_h,572.25
temperature_rounded,348.75
day_of_year_cos,345.25
wind_forecast,315.5
day_of_year_sin,312.0
load_forecast,288.75
wind_act_minus_fc_prevday,283.5
wind_forecast_trend_lag2_4,275.5
nbr_price_t15_1,269.0
solar_forecast,259.75
load_act_minus_fc_prevday,246.75
nbr_price_t15_3,245.25
price_range,236.5
price_trend,225.5
solar_forecast_trend_lag2_4,209.5
load_forecast_trend_lag2_4,190.75
solar_act_minus_fc_prevday,188.75
volume_trend,173.25
volume_lag1,156.75
volume_std,153.25
volume_range,140.5
imported,139.5
price_std,135.75
delivery_weekday_cos,97.0
exported,79.0
delivery_weekday_sin,71.5
delivery_hour,52.25
imported_is_zero,49.0
delivery_month_sin,47.0
delivery_month_cos,37.25
exported_is_zero,33.75
delivery_hour_sin,27.25
delivery_hour_cos,26.0
