tgt_close_t-12,tgt_close_t-11,tgt_close_t-10,tgt_close_t-9,tgt_close_t-8,tgt_close_t-7,tgt_close_t-6,tgt_close_t-5,tgt_close_t-4,tgt_close_t-3,tgt_close_t-2,tgt_close_t-1,wind_actual_exc-15m,solar_actual_exc-15m,load_actual_exc-15m,neigh1_close_t-12,neigh1_close_t-11,neigh1_close_t-10,neigh1_close_t-9,neigh1_close_t-8,neigh1_close_t-7,neigh1_close_t-6,neigh1_close_t-5,neigh1_close_t-4,neigh1_close_t-3,neigh1_close_t-2,neigh1_close_t-1,neigh2_close_t-12,neigh2_close_t-11,neigh2_close_t-10,neigh2_close_t-9,neigh2_close_t-8,neigh2_close_t-7,neigh2_close_t-6,neigh2_close_t-5,neigh2_close_t-4,neigh2_close_t-3,neigh2_close_t-2,neigh2_close_t-1,neigh3_close_t-12,neigh3_close_t-11,neigh3_close_t-10,neigh3_close_t-9,neigh3_close_t-8,neigh3_close_t-7,neigh3_close_t-6,neigh3_close_t-5,neigh3_close_t-4,neigh3_close_t-3,neigh3_close_t-2,neigh3_close_t-1,wind_forecast_t-0m,wind_forecast_t-15m,wind_forecast_t-30m,wind_forecast_t-45m,wind_forecast_t-60m,wind_forecast_t-1d-0m,wind_forecast_t-1d-15m,wind_forecast_t-1d-30m,wind_forecast_t-1d-45m,wind_forecast_t-1d-60m,solar_forecast_t-0m,solar_forecast_t-15m,solar_forecast_t-30m,solar_forecast_t-45m,solar_forecast_t-60m,solar_forecast_t-1d-0m,solar_forecast_t-1d-15m,solar_forecast_t-1d-30m,solar_forecast_t-1d-45m,solar_forecast_t-1d-60m,load_forecast_t-0m,load_forecast_t-15m,load_forecast_t-30m,load_forecast_t-45m,load_forecast_t-60m,load_forecast_t-1d-0m,load_forecast_t-1d-15m,load_forecast_t-1d-30m,load_forecast_t-1d-45m,load_forecast_t-1d-60m,wind_actual_t-1d-0m,wind_actual_t-1d-15m,wind_actual_t-1d-30m,wind_actual_t-1d-45m,wind_actual_t-1d-60m,solar_actual_t-1d-0m,solar_actual_t-1d-15m,solar_actual_t-1d-30m,solar_actual_t-1d-45m,solar_actual_t-1d-60m,load_actual_t-1d-0m,load_actual_t-1d-15m,load_actual_t-1d-30m,load_actual_t-1d-45m,load_actual_t-1d-60m,day_ahead_price,delivery_time,execution_hour,target_close
-9.87,-9.89,-8.37,-3.71,-0.11,-2.91,-1.53,-13.66,-7.6,-8.4,,,,,,-8.7,-4.9,-6.22,-4.79,-6.76,-1.61,-5.1,0.12,0.12,0.12,0.12,0.12,-4.99,-7.99,-4.7,-7.3,-3.38,-3.62,-4.27,-4.94,-5.94,-5.94,-5.94,-5.94,-8.2,-7.21,-6.84,-9.0,-7.44,-4.48,-5.39,-12.72,-6.0,-1.8,-1.8,-1.8,37585.0,37683.0,37772.0,38397.0,38460.0,31013.0,31372.0,31733.0,32054.0,32443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37514.0,37558.0,37651.0,37631.0,38072.0,39970.0,40047.0,40001.0,39991.0,39870.0,28181.0,28642.0,28576.0,28454.0,29201.0,5.0,5.0,5.0,5.0,5.0,36693.0,36724.0,36932.0,36711.0,36612.0,-29.94,2023-01-01 03:45:00,2023-01-01 03:00:00,
-2.47,-3.0,-5.52,-7.46,-29.12,0.26,-1.03,-4.87,-3.79,-2.6,-3.26,-4.02,,,,-1.47,-11.13,-4.16,-8.89,-2.83,-9.49,-4.85,-7.1,-5.11,-7.1,-8.56,-10.76,-0.36,-6.57,-8.71,-6.4,-5.42,-6.13,-2.82,-4.98,-1.88,-1.08,0.43,0.12,5.24,3.46,0.0,-0.04,0.23,1.09,-1.03,0.0,3.19,3.8,3.13,4.09,34334.0,34533.0,34790.0,34994.0,35198.0,34699.0,34104.0,30915.0,30632.0,30384.0,166.0,37.0,0.0,0.0,0.0,66.0,14.0,0.0,0.0,0.0,36620.0,36449.0,35625.0,35574.0,35161.0,42368.0,42301.0,41223.0,39678.0,38805.0,31166.0,30573.0,29915.0,28995.0,28619.0,33.0,6.0,7.0,5.0,5.0,44652.0,44238.0,42473.0,41623.0,40897.0,-29.9,2023-01-01 08:15:00,2023-01-01 07:00:00,
-29.12,0.26,-1.03,-4.87,-3.79,-2.6,-3.26,-4.02,,,,,,,,-2.83,-9.49,-4.85,-7.1,-5.11,-7.1,-8.56,-10.76,-10.76,-10.76,-10.76,-10.76,-5.42,-6.13,-2.82,-4.98,-1.88,-1.08,0.43,0.12,2.82,0.56,0.56,0.56,0.23,1.09,-1.03,0.0,3.19,3.8,3.13,4.09,4.46,-2.89,-9.49,-9.49,34334.0,34533.0,34790.0,34994.0,35198.0,34699.0,34104.0,30915.0,30632.0,30384.0,166.0,37.0,0.0,0.0,0.0,66.0,14.0,0.0,0.0,0.0,36620.0,36449.0,35625.0,35574.0,35161.0,42368.0,42301.0,41223.0,39678.0,38805.0,31166.0,30573.0,29915.0,28995.0,28619.0,33.0,6.0,7.0,5.0,5.0,44652.0,44238.0,42473.0,41623.0,40897.0,-29.9,2023-01-01 08:15:00,2023-01-01 08:00:00,
-3.22,-3.77,-4.04,-2.8,-4.7,-5.76,-4.07,-4.29,-3.1,,-3.34,,,,,,,-0.1,,-3.65,-5.0,-2.8,-5.0,-3.99,,,-3.52,-0.73,-0.02,-0.04,1.91,-5.62,-5.42,-4.7,-4.48,-4.48,-3.62,-8.0,-7.21,-1.8,-1.79,-0.1,,-3.28,-5.05,-7.71,-5.0,-7.01,-3.4,-6.2,-6.1,33654.0,33858.0,34103.0,34334.0,34533.0,32947.0,35593.0,35201.0,34699.0,34104.0,2495.0,1614.0,865.0,166.0,37.0,1274.0,811.0,437.0,66.0,14.0,38771.0,37614.0,37049.0,36620.0,36449.0,45327.0,43853.0,43087.0,42368.0,42301.0,30617.0,31365.0,31676.0,31166.0,30573.0,1043.0,548.0,208.0,33.0,6.0,45791.0,45630.0,45205.0,44652.0,44238.0,-30.0,2023-01-01 09:00:00,2023-01-01 06:00:00,
-4.64,-6.41,-6.41,-6.41,-6.41,-4.61,-3.53,-4.35,-3.93,-1.0,-0.51,,,,,-9.21,-9.21,-9.21,-9.21,-5.03,-4.99,-3.22,-3.22,-3.22,-3.22,-3.22,-3.22,-2.5,-2.43,-1.43,-1.43,-1.43,-3.8,0.0,0.0,-2.7,0.91,0.89,0.48,-3.8,-4.74,-4.74,-4.74,-4.74,-2.35,,-2.22,1.5,0.0,-0.7,-3.51,33326.0,33654.0,33858.0,34103.0,34334.0,33371.0,32947.0,35593.0,35201.0,34699.0,3463.0,2495.0,1614.0,865.0,166.0,1762.0,1274.0,811.0,437.0,66.0,39382.0,38771.0,37614.0,37049.0,36620.0,45182.0,45327.0,43853.0,43087.0,42368.0,30592.0,30617.0,31365.0,31676.0,31166.0,1629.0,1043.0,548.0,208.0,33.0,46496.0,45791.0,45630.0,45205.0,44652.0,-29.9,2023-01-01 09:15:00,2023-01-01 03:00:00,
-0.81,-1.01,-2.98,2.8,2.4,1.3,-3.8,-6.86,-4.91,,,,,,,,-4.05,-2.95,-6.71,-5.0,-4.26,-5.53,-4.4,-4.4,-4.4,-4.4,-4.4,-4.8,-0.1,,,0.0,-2.49,1.6,-4.79,-2.92,-2.92,-2.92,-2.92,1.0,-0.1,-1.82,-0.92,,-0.5,-1.7,-6.11,-9.06,-5.52,-6.07,-6.07,32995.0,33326.0,33654.0,33858.0,34103.0,33790.0,33371.0,32947.0,35593.0,35201.0,4496.0,3463.0,2495.0,1614.0,865.0,2290.0,1762.0,1274.0,811.0,437.0,39831.0,39382.0,38771.0,37614.0,37049.0,46307.0,45182.0,45327.0,43853.0,43087.0,30708.0,30592.0,30617.0,31365.0,31676.0,2231.0,1629.0,1043.0,548.0,208.0,46929.0,46496.0,45791.0,45630.0,45205.0,-29.9,2023-01-01 09:30:00,2023-01-01 09:00:00,
-3.28,-5.05,-7.71,-5.0,-7.01,-3.4,-6.2,-6.1,1.0,-0.1,-1.82,-0.92,,,,-4.7,-5.76,-4.07,-4.29,-3.1,,-3.34,,,-4.05,-2.95,-6.71,-3.65,-5.0,-2.8,-5.0,-3.99,,,-3.52,-4.8,-0.1,,,-5.62,-5.42,-4.7,-4.48,-4.48,-3.62,-8.0,-7.21,-0.81,-1.01,-2.98,2.8,32672.0,32995.0,33326.0,33654.0,33858.0,34155.0,33790.0,33371.0,32947.0,35593.0,5541.0,4496.0,3463.0,2495.0,1614.0,2841.0,2290.0,1762.0,1274.0,811.0,40257.0,39831.0,39382.0,38771.0,37614.0,47324.0,46307.0,45182.0,45327.0,43853.0,30847.0,30708.0,30592.0,30617.0,31365.0,2921.0,2231.0,1629.0,1043.0,548.0,47296.0,46929.0,46496.0,45791.0,45630.0,91.99,2023-01-01 09:45:00,2023-01-01 07:00:00,
-3.9,-3.33,-5.8,-2.95,-3.91,-2.6,-1.29,-4.71,-1.8,-1.3,-0.41,-0.54,,,,-1.4,-5.01,-8.43,-6.34,-3.4,-0.41,-1.5,-6.97,0.8,-2.34,0.0,,-0.11,-5.87,-5.87,-7.1,-10.61,-7.0,-13.45,-7.38,-8.48,-10.25,-5.21,-5.15,3.48,-13.85,-8.33,-6.39,-6.24,-3.95,-4.31,-2.11,1.8,-1.09,-3.44,0.1,31911.0,32317.0,32672.0,32995.0,33326.0,35034.0,34546.0,34155.0,33790.0,33371.0,7500.0,6544.0,5541.0,4496.0,3463.0,3990.0,3408.0,2841.0,2290.0,1762.0,41355.0,41141.0,40257.0,39831.0,39382.0,48615.0,48348.0,47324.0,46307.0,45182.0,31162.0,31038.0,30847.0,30708.0,30592.0,4501.0,3696.0,2921.0,2231.0,1629.0,48176.0,47804.0,47296.0,46929.0,46496.0,-29.9,2023-01-01 10:15:00,2023-01-01 07:00:00,
-0.76,-0.76,-0.76,-0.76,-1.7,,-2.6,,,,,,,,,-11.75,-11.75,-11.75,-11.75,-11.75,-7.5,-8.0,-7.6,-11.52,-11.52,-11.52,-11.52,-1.0,-4.79,-4.79,-4.79,,0.0,,2.33,,,,,,-7.12,-7.12,-7.12,3.98,2.3,4.74,-0.48,4.74,4.74,4.74,4.74,30236.0,30724.0,31127.0,31517.0,31911.0,37161.0,36692.0,36242.0,35639.0,35034.0,10430.0,9876.0,9172.0,8391.0,7500.0,6314.0,5831.0,5183.0,4582.0,3990.0,43660.0,42936.0,42136.0,41897.0,41355.0,50972.0,50474.0,50295.0,49572.0,48615.0,32165.0,31766.0,31901.0,31505.0,31162.0,6922.0,6643.0,6069.0,5382.0,4501.0,49787.0,49518.0,48976.0,48343.0,48176.0,-29.9,2023-01-01 11:15:00,2023-01-01 03:00:00,
-1.0,-4.79,-4.79,-4.79,,0.0,,2.33,,,,,,,,-11.75,-11.75,-11.75,-11.75,-11.75,-7.5,-8.0,-7.6,-11.52,-11.52,-11.52,-11.52,-0.76,-0.76,-0.76,-0.76,-1.7,,-2.6,,,,,,,-7.12,-7.12,-7.12,3.98,2.3,4.74,-0.48,4.74,4.74,4.74,4.74,29741.0,30236.0,30724.0,31127.0,31517.0,37528.0,37161.0,36692.0,36242.0,35639.0,10865.0,10430.0,9876.0,9172.0,8391.0,6760.0,6314.0,5831.0,5183.0,4582.0,43894.0,43660.0,42936.0,42136.0,41897.0,51937.0,50972.0,50474.0,50295.0,49572.0,32638.0,32165.0,31766.0,31901.0,31505.0,7131.0,6922.0,6643.0,6069.0,5382.0,50110.0,49787.0,49518.0,48976.0,48343.0,-29.9,2023-01-01 11:30:00,2023-01-01 03:00:00,
